English,Hindi
part,hissa
history,itihaas
search,khoj
only,sirf
police,police
thought,soch
help,madad
request,nivedan
kind,dayalu
month,mahina
brother,bhai
let,jaane do
because,kyunki
to put,rakhna
no,nahi
leash,patta
them,unhe
city,sheher
each,har ek
speak,bolna
come,aana
should,chahiye
baby,bachcha
long time,lamba samay
hours,ghante
will,hoga
while,jab tak
meet again,phir milna
any,koi bhi
square,chauraha
speak,bolna
understood,samjha
knew,jaanta tha
were,the
Warning,chetavani
here is,yeh raha
could,kar sakta tha
case,mamla
give,dena
type,prakaar
their,unka
given,diya gaya
train,railgaadi
body,sharir
place,jagah
eyes,aankhen
way,raasta
listen,sunna
whose,kiska
find,dhoondhna
first,pehla
lost,kho gaya
hand,haath
first,pehla
side,taraf
power,shakti
old,purana
be,
here,tiens
morning,matin
so much,tellement
child,bachcha
point,point
came,aaya
after,suite
sorry,maffi
come,venez
in front of,devant
 towards,ki ore
 minutes,minute
 request,nivedan
 bedroom,sone ka kamra
 placed,rakha gaya
 beautiful,khubsurat
 law,kanoon
 would like to,chahta hoon
 today,aaj
 husband,pati
 cause,wajah
 finally,aakhirkaar
 hope,aasha
 water,paani
 Wait,ruk jao
 left,chhod diya
 new,naya
 job,naukri
 Stop,ruk jao
 would say,kehta
 Earth,dharti
 account,khaata
 given,diya gaya
 far,door
 end,ant
 believe,vishwas
 sweetheart,jaan
 large,bada
 rather,balki
 will have,hoga
 girls,ladkiyan
 to play,khelna
 office,daftar
